Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
0,0,0,0,0,0,0,0,0,0
560489,0,0,0,0,0,0,0,0,0
1121180,0,0,0,0,0,0,0,0,0
1682073,0,0,0,0.001389,0,0,0,0,0
2243172,0,0,0,0.001389,0,0,0,0,0
2804470,0,0,0,0.001389,0,0,0,0,0
3365970,0,0,0,0.001389,0,0,0,0,0
3927672,0,0,0,0,0,0,0,0,0
4489576,0,0,0,0,0,0,0,0,0
5051682,0,0,0,0,0,0,0,0,0
5614000,0,0,0,0,0,0,0,0,0
6176511,0,0,0,0.001389,0,0,0,0,0
6739248,0,0,0,0.001389,0,0,0,0,0
7302165,0,0,0,0.001389,0,0,0,0,0
7865298,0,0,0,0.001389,0,0,0,0,0
8428635,0,0,0,0,0,0,0,0,0
8992176,0,0,0,0,0,0,0,0,0
9555921,0,0,0,0,0,0,0,0,0
10119888,0,0,0,0,0,0,0,0,0
10684042,0,0,0,0.001389,0,0,0,0,0
11248440,0,0,0,0.002778,0,0,0,0,0
11813004,0,0,0,0.002778,0,0,0,0,0
12377794,0,0,0,0.001389,0,0,0,0,0
12942790,0,0,0,0,0,0,0,0,0
13507992,0,0,0,0,0,0,0,0,0
14073400,0,0,0,0,0,0,0,0,0
14639040,0,0,0,0.001389,0,0,0,0,0
15204861,0,0,0,0.001389,0,0,0,0,0
15770916,0,0,0,0.002778,0,0,0,0,0
16337150,0,0,0,0.002778,0,0,0,0,0
16903590,0,0,0,0.001389,0,0,0,0,0
17470298,0,0,0,0,0,0,0,0,0
18037152,0,0,0,0,0,0,0,0,0
18604245,0,0,0,0,0,0,0,0,0
19171580,0,0,0,0,0,0,0,0,0
19739090,0,0,0,0.001389,0,0,0,0,0
20306880,0,0,0,0.002778,0,0,0,0,0
20874808,0,0,0,0.002778,0,0,0,0,0
21442944,0,0,0,0.001389,0,0,0,0,0
22011327,0,0,0,0,0,0,0,0,0
22579880,0,0,0,0,0,0,0,0,0
23148723,0,0,0,0,0,0,0,0,0
23717694,0,0,0,0,0,0,0,0,0
24286916,0,0,0,0.001389,0,0,0,0,0
24856392,0,0,0,0.002778,0,0,0,0,0
25426035,0,0,0,0.002778,0,0,0,0,0
25995888,0,0,0,0.001389,0,0,0,0,0
26565998,0,0,0,0,0,0,0,0,0
27136272,0,0,0,0,0,0,0,0,0
27706854,0,0,0,0,0,0,0,0,0
28277550,0,0,0,0,0,0,0,0,0
28848507,0,0,0,0.001389,0,0,0,0,0
29419728,0,0,0,0.001389,0,0,0,0,0
29991110,0,0,0,0.002778,0,0,0,0,0
30562704,0,0,0,0.001389,0,0,0,0,0
31134565,0,0,0,0,0,0,0,0,0
31706584,0,0,0,0,0,0,0,0,0
32278929,0,0,0,0,0,0,0,0,0
32851374,0,0,0,0,0,0,0,0,0
33424090,0,0,0,0.001389,0,0,0,0,0
33997020,0,0,0,0.002778,0,0,0,0,0
34570164,0,0,0,0.002778,0,0,0,0,0
35143584,0,0,0,0.001389,0,0,0,0,0
35717157,0,0,0,0,0,0,0,0,0
36290944,0,0,0,0,0,0,0,0,0
36865075,0,0,0,0,0,0,0,0,0
37439292,0,0,0,0,0,0,0,0,0
38013723,0,0,0,0.001389,0,0,0,0,0
