Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel,,Test Time,25/02/2019
0,0,0,0,0,0,0,0,0,0,,Distance target,+ 50mm
1087674,0,0,0,0.001389,0,10,10,1000,1000,,Measured actual,49 mm
2175548,0,0,0,0.001389,0,10,10,1000,1000,,,
3263625,0,0,0,0.001389,0,10,10,1000,1000,,,
4351904,0,0,0,0.001389,0,10,10,1000,1000,,,
5440385,0,0,0,0.001389,0,10,10,1000,1000,,,
6529068,0,0,0,0,0,10,10,1000,1000,,,
7617960,0,0,0,0,0,10,10,1000,1000,,,
8707048,0,0,0,-0.001389,0,10,10,1000,1000,,,
9796356,0,0,0,-0.001389,0,10,10,1000,1000,,,
10885850,0,0,0,0,0,10,10,1000,1000,,,
11975557,0,0,0,0,0,10,10,1000,1000,,,
13065468,0,0,0,0,0,10,10,1000,1000,,,
14155583,0,0,0,0.001389,0,10,10,1000,1000,,,
15245902,0,0,0,0.001389,0,10,10,1000,1000,,,
16336440,0,0,0,0.001389,0,10,10,1000,1000,,,
17427168,0,0,0,0.001389,0,10,10,1000,1000,,,
18518134,0,0,0,0,0,10,10,1000,1000,,,
19609272,0,0,0,0,0,10,10,1000,1000,,,
20700633,0,0,0,0,0,10,10,1000,1000,,,
21792200,0,0,0,0,0,10,10,1000,1000,,,
22883973,0,0,0,0,0,10,10,1000,1000,,,
23975952,0,0,0,0.001389,0,10,10,1000,1000,,,
25068160,0,0,0,0.001389,0,10,10,1000,1000,,,
26160552,0,0,0,0.001389,0,10,10,1000,1000,,,
27253200,0,0,0,0.001389,0,10,10,1000,1000,,,
28346006,0,0,0,0.001389,0,10,10,1000,1000,,,
29439072,0,0,0,0.001389,0,10,10,1000,1000,,,
30532320,0,0,0,0.001389,0,10,10,1000,1000,,,
31625776,0,0,0,0.001389,0,10,10,1000,1000,,,
32719440,0,0,0,0,0,10,10,1000,1000,,,
33813312,0,0,0,0,0,10,10,1000,1000,,,
34907424,0,0,0,-0.001389,0,10,10,1000,1000,,,
36001713,0,0,0,-0.001389,0,10,10,1000,1000,,,
37096278,0,0,0,0,0,10,10,1000,1000,,,
38190985,0,0,0,0,0,10,10,1000,1000,,,
39285936,0,0,0,0,0,10,10,1000,1000,,,
40381097,0,0,0,0.001389,0,10,10,1000,1000,,,
41476468,0,0,0,0.001389,0,10,10,1000,1000,,,
42572049,0,0,0,0.001389,0,10,10,1000,1000,,,
43667880,0,0,0,0.001389,0,10,10,1000,1000,,,
44763882,0,0,0,0,0,10,10,1000,1000,,,
45860178,0,0,0,0,0,10,10,1000,1000,,,
46956602,0,0,0,0,0,10,10,1000,1000,,,
48053280,0,0,0,0,0,10,10,1000,1000,,,
49150170,0,0,0,0.001389,0,10,10,1000,1000,,,
50247272,0,0,0,0.001389,0,10,10,1000,1000,,,
51344633,0,0,0,0.001389,0,10,10,1000,1000,,,
52442160,0,0,0,0.001389,0,10,10,1000,1000,,,
53539899,0,0,0,0,0,10,10,1000,1000,,,
54637900,0,0,0,0,0,10,10,1000,1000,,,
55736115,0,0,0,0,0,10,10,1000,1000,,,
56834596,0,0,0,0,0,10,10,1000,1000,,,
57933240,0,0,0,0.001389,0,10,10,1000,1000,,,
59032098,0,0,0,0.001389,0,10,10,1000,1000,,,
60131225,0,0,0,0.001389,0,10,10,1000,1000,,,
61230512,0,0,0,0.001389,0,10,10,1000,1000,,,
62330127,0,0,0,0,0,10,10,1000,1000,,,
63429844,0,0,0,0,0,10,10,1000,1000,,,
64529834,0,0,0,0,0,10,10,1000,1000,,,
65630040,0,0,0,0,0,10,10,1000,1000,,,
66730462,0,0,0,0.001389,0,10,10,1000,1000,,,
67831100,0,0,0,0.001389,0,10,10,1000,1000,,,
68932017,0,0,0,0.001389,0,10,10,1000,1000,,,
70033088,0,0,0,0.001389,0,10,10,1000,1000,,,
71134505,0,0,0,0.001389,0,10,10,1000,1000,,,
72236010,0,0,0,0,0,10,10,1000,1000,,,
73337798,0,0,0,0,0,10,10,1000,1000,,,
74439804,0,0,0,-0.001389,0,10,10,1000,1000,,,
75542028,0,0,0,-0.001389,0,10,10,1000,1000,,,
76644540,0,0,0,0,0,10,10,1000,1000,,,
77747201,0,0,0,0,0,10,10,1000,1000,,,
78850080,0,0,0,0,0,10,10,1000,1000,,,
79953250,0,0,0,0.001389,0,10,10,1000,1000,,,
81056566,0,0,0,0.001389,0,10,10,1000,1000,,,
82160175,0,0,0,0.001389,0,10,10,1000,1000,,,
83264004,0,0,0,0.001389,0,10,10,1000,1000,,,
84368053,0,0,0,0.001389,0,10,10,1000,1000,,,
85472400,0,0,0,0,0,10,10,1000,1000,,,
86576969,0,0,0,0,0,10,10,1000,1000,,,
87681680,0,0,0,-0.001389,0,10,10,1000,1000,,,
88786692,0,0,0,-0.001389,0,10,10,1000,1000,,,
89891926,0,0,0,0,0,10,10,1000,1000,,,
90997382,0,0,0,0,0,10,10,1000,1000,,,
92103060,0,0,0,0,0,10,10,1000,1000,,,
93208960,0,0,0,0.001389,0,10,10,1000,1000,,,
94315168,0,0,0,0.001389,0,10,10,1000,1000,,,
95421600,0,0,0,0.001389,0,10,10,1000,1000,,,
96528256,0,0,0,0.001389,0,10,10,1000,1000,,,
97635136,0,0,0,0.001389,0,10,10,1000,1000,,,
98742150,0,0,0,0,0,10,10,1000,1000,,,
99849477,0,0,0,0,0,10,10,1000,1000,,,
100957028,0,0,0,-0.001389,0,10,10,1000,1000,,,
102064896,0,0,0,-0.001389,0,10,10,1000,1000,,,
103172990,0,0,0,0,0,10,10,1000,1000,,,
104281215,0,0,0,0,0,10,10,1000,1000,,,
105389760,0,0,0,0,0,10,10,1000,1000,,,
106498531,0,0,0,0.001389,0,10,10,1000,1000,,,
107607528,0,0,0,0.001389,1000,10,10,1000,1000,,,
108716751,0,0,0,-0.013889,1000,10,10,1000,1000,,,
109826300,0,0,0,-0.030556,2000,10,10,1000,1000,,,
110935976,0,0,0,0.002778,2000,10,10,1000,1000,,,
112045980,0,0,0,0.038889,3000,10,10,1000,1000,,,
113156109,0,0,0,-0.0125,3000,10,10,1000,1000,,,
114266568,0,0,0,-0.066667,4000,10,10,1000,1000,,,
115377255,0,0,0,0.001389,4000,10,10,1000,1000,,,
