Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel,,,25/02/2019 12:11
0,3950.829,0,0,0,0,0,0,0,0,0,,,
3951.1,0.21,0,0,100,0,0,10,10,100,100,,,
7902.402,0.061,0,0,0,0,0,10,10,100,100,,,
11853.9,0.101,0,0,100,0,0,10,10,100,100,,,
15805.6,0.1,0,0,0,0.001389,0,10,10,100,100,,,
19757.505,0.1,0,0,100,0.001389,0,10,10,100,100,,,
23709.6,0.101,0,0,0,0.001389,100,10,10,100,100,,,
27661.9,0.099,0,0,100,0.001389,100,10,10,100,100,,,
31614.4,0.101,0,0,0,0.001389,200,10,10,100,100,,,
35567.109,0.099,0,0,100,0.001389,200,10,10,100,100,,,
39520,0.101,0,0,0,0.001389,300,10,10,100,100,,,
43473.1,0.1,0,0,100,0.001389,300,10,10,100,100,,,
47426.412,0.1,0,0,0,0.001389,400,10,10,100,100,,,
51379.9,0.101,0,0,100,0.001389,400,10,10,100,100,,,
55333.6,0.099,0,0,0,0.001389,500,10,10,100,100,,,
59287.5,0.101,0,0,100,0.001389,500,10,10,100,100,,,
63241.6,0.099,0,0,0,0.001389,600,10,10,100,100,,,
67195.917,0.1,0,0,100,0.001389,600,10,10,100,100,,,
71150.4,0.101,0,0,0,0.001389,700,10,10,100,100,,,
75105.1,0.1,0,0,100,0.001389,700,10,10,100,100,,,
79060,0.1,0,0,0,0.001389,800,10,10,100,100,,,
83015.1,0.101,0,0,100,0.001389,800,10,10,100,100,,,
86970.4,0.099,0,0,0,0.001389,900,10,10,100,100,,,
90925.9,0.101,0,0,100,0.001389,900,10,10,100,100,,,
94881.6,0.1,0,0,0,0.001389,1000,10,10,100,100,,,
98837.5,0.1,0,0,100,0.001389,1000,10,10,100,100,,,
102793.6,0.1,0,0,0,0.001389,1100,10,10,100,100,,,
106749.9,0.101,0,0,100,0.001389,1100,10,10,100,100,,,
110706.4,0.099,0,0,0,0.001389,1200,10,10,100,100,,,
114663.1,0.101,0,0,100,0.001389,1200,10,10,100,100,,,
118620,0.099,0,0,0,0.001389,1300,10,10,100,100,,,
122577.1,0.101,0,0,100,0.001389,1300,10,10,100,100,,,
126534.4,0.1,0,0,0,0.001389,1400,10,10,100,100,,,
130491.9,0.1,0,0,100,0.001389,1400,10,10,100,100,,,
134449.634,0.1,0,0,0,0.001389,1500,10,10,100,100,,,
138407.5,0.101,0,0,100,0.001389,1500,10,10,100,100,,,
142365.6,0.1,0,0,0,0.001389,1600,10,10,100,100,,,
146323.937,0.099,0,0,100,0.001389,1600,10,10,100,100,,,
150282.438,0.101,0,0,0,0.001389,1700,10,10,100,100,,,
154241.1,0.101,0,0,100,0.001389,1700,10,10,100,100,,,
158200,0.099,0,0,0,0.001389,1800,10,10,100,100,,,
162159.1,0.1,0,0,100,0.001389,1800,10,10,100,100,,,
166118.4,0.101,0,0,0,0.001389,1900,10,10,100,100,,,
170077.9,0.1,0,0,100,0.001389,1900,10,10,100,100,,,
174037.644,0.099,0,0,0,0.001389,2000,10,10,100,100,,,
177997.545,0.101,0,0,100,0.001389,2000,10,10,100,100,,,
181957.6,0.101,0,0,0,0.001389,2100,10,10,100,100,,,
185917.9,0.099,0,0,100,0.001389,2100,10,10,100,100,,,
189878.4,0.1,0,0,0,0.001389,2200,10,10,100,100,,,
