Time (ms),dT (s),X dist,X duty,X freq,Y dist,Y velocity,Y acc,Y freq, X accel, X decel, Y accel, Y decel,,25/02/2019 11:24,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1087674,1087.674,0,0,0,0.001389,1.27704E-06,1.1741E-09,0,10,10,1000,1000,,,,,,,,,,,
2175548,1087.874,0,0,0,0.001389,0,-1.17388E-09,0,10,10,1000,1000,,,,,,,,,,,
3263625,1088.077,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
4351904,1088.279,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
5440385,1088.481,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
6529068,1088.683,0,0,0,0,-1.27585E-06,-1.17192E-09,0,10,10,1000,1000,,,,,,,,,,,
7617960,1088.892,0,0,0,0,0,1.1717E-09,0,10,10,1000,1000,,,,,,,,,,,
8707048,1089.088,0,0,0,-0.001389,-1.27538E-06,-1.17105E-09,0,10,10,1000,1000,,,,,,,,,,,
9796356,1089.308,0,0,0,-0.001389,0,1.17082E-09,0,10,10,1000,1000,,,,,,,,,,,
10885850,1089.494,0,0,0,0,1.2749E-06,1.17018E-09,0,10,10,1000,1000,,,,,,,,,,,
11975557,1089.707,0,0,0,0,0,-1.16995E-09,0,10,10,1000,1000,,,,,,,,,,,
13065468,1089.911,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
14155583,1090.115,0,0,0,0.001389,1.27418E-06,1.16885E-09,0,10,10,1000,1000,,,,,,,,,,,
15245902,1090.319,0,0,0,0.001389,0,-1.16863E-09,0,10,10,1000,1000,,,,,,,,,,,
16336440,1090.538,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
17427168,1090.728,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
18518134,1090.966,0,0,0,0,-1.27318E-06,-1.16702E-09,0,10,10,1000,1000,,,,,,,,,,,
19609272,1091.138,0,0,0,0,0,1.16684E-09,0,10,10,1000,1000,,,,,,,,,,,
20700633,1091.361,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
21792200,1091.567,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
22883973,1091.773,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
23975952,1091.979,0,0,0,0.001389,1.272E-06,1.16486E-09,0,10,10,1000,1000,,,,,,,,,,,
25068160,1092.208,0,0,0,0.001389,0,-1.16462E-09,0,10,10,1000,1000,,,,,,,,,,,
26160552,1092.392,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
27253200,1092.648,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
28346006,1092.806,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
29439072,1093.066,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
30532320,1093.248,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
31625776,1093.456,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
32719440,1093.664,0,0,0,0,-1.27004E-06,-1.16127E-09,0,10,10,1000,1000,,,,,,,,,,,
33813312,1093.872,0,0,0,0,0,1.16105E-09,0,10,10,1000,1000,,,,,,,,,,,
34907424,1094.112,0,0,0,-0.001389,-1.26952E-06,-1.16032E-09,0,10,10,1000,1000,,,,,,,,,,,
36001713,1094.289,0,0,0,-0.001389,0,1.16013E-09,0,10,10,1000,1000,,,,,,,,,,,
37096278,1094.565,0,0,0,0,1.269E-06,1.15936E-09,0,10,10,1000,1000,,,,,,,,,,,
38190985,1094.707,0,0,0,0,0,-1.15921E-09,0,10,10,1000,1000,,,,,,,,,,,
39285936,1094.951,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
40381097,1095.161,0,0,0,0.001389,1.26831E-06,1.1581E-09,0,10,10,1000,1000,,,,,,,,,,,
41476468,1095.371,0,0,0,0.001389,0,-1.15788E-09,0,10,10,1000,1000,,,,,,,,,,,
42572049,1095.581,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
43667880,1095.831,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
44763882,1096.002,0,0,0,0,-1.26733E-06,-1.15632E-09,0,10,10,1000,1000,,,,,,,,,,,
45860178,1096.296,0,0,0,0,0,1.15601E-09,0,10,10,1000,1000,,,,,,,,,,,
46956602,1096.424,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
48053280,1096.678,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
49150170,1096.89,0,0,0,0.001389,1.26631E-06,1.15445E-09,0,10,10,1000,1000,,,,,,,,,,,
50247272,1097.102,0,0,0,0.001389,0,-1.15423E-09,0,10,10,1000,1000,,,,,,,,,,,
51344633,1097.361,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
52442160,1097.527,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
53539899,1097.739,0,0,0,0,-1.26533E-06,-1.15267E-09,0,10,10,1000,1000,,,,,,,,,,,
54637900,1098.001,0,0,0,0,0,1.15239E-09,0,10,10,1000,1000,,,,,,,,,,,
55736115,1098.215,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
56834596,1098.481,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
57933240,1098.644,0,0,0,0.001389,1.26429E-06,1.15077E-09,0,10,10,1000,1000,,,,,,,,,,,
59032098,1098.858,0,0,0,0.001389,0,-1.15055E-09,0,10,10,1000,1000,,,,,,,,,,,
60131225,1099.127,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
61230512,1099.287,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
62330127,1099.615,0,0,0,0,-1.26317E-06,-1.14874E-09,0,10,10,1000,1000,,,,,,,,,,,
63429844,1099.717,0,0,0,0,0,1.14863E-09,0,10,10,1000,1000,,,,,,,,,,,
64529834,1099.99,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
65630040,1100.206,0,0,0,0,0,0,0,10,10,1000,1000,,,,,,,,,,,
66730462,1100.422,0,0,0,0.001389,1.26224E-06,1.14705E-09,0,10,10,1000,1000,,,,,,,,,,,
67831100,1100.638,0,0,0,0.001389,0,-1.14683E-09,0,10,10,1000,1000,,,,,,,,,,,
68932017,1100.917,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
70033088,1101.071,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
71134505,1101.417,0,0,0,0.001389,0,0,0,10,10,1000,1000,,,,,,,,,,,
