25/02/2019 12:00,,,,,,,,,,,,
Time (s),Time step (s),X dist,X duty,X freq,Y dist,Y velocity,Y acc,Y freq, X accel, X decel, Y accel, Y decel
0,3250.412,0,0,0,56.919444,0,0,0,0,0,0,0
3250.701,0.212,0,0,0,56.919444,0,0,0,10,10,10,10
6501.6,0.077,0,0,0,56.919444,739.2135584,9600.176084,10,10,10,10,10
9752.7,0.1,0,0,0,56.919444,569.19444,-1700.191184,10,10,10,10,10
13004,0.1,0,0,0,56.919444,569.19444,0,20,10,10,10,10
16255.5,0.1,0,0,0,56.919444,569.19444,0,20,10,10,10,10
19507.206,0.1,0,0,0,56.918056,569.18056,-0.1388,30,10,10,10,10
22759.1,0.101,0,0,0,56.916667,563.5313564,-55.93270856,30,10,10,10,10
26011.208,0.099,0,0,0,56.916667,574.9158283,114.9946651,40,10,10,10,10
29263.5,0.101,0,0,0,56.915278,563.517604,-112.8537062,40,10,10,10,10
32516,0.1,0,0,0,56.913889,569.13889,56.2128604,50,10,10,10,10
35768.7,0.1,0,0,0,56.913889,569.13889,0,50,10,10,10,10
39021.612,0.1,0,0,0,56.9125,569.125,-0.1389,50,10,10,10,10
42274.7,0.101,0,0,0,56.9125,563.490099,-55.79109891,50,10,10,10,10
45528,0.099,0,0,0,56.9125,574.8737374,114.9862461,50,10,10,10,10
48781.5,0.101,0,0,0,56.911111,563.4763465,-112.8454539,50,10,10,10,10
52035.2,0.1,0,0,0,56.911111,569.11111,56.34763465,50,10,10,10,10
55289.1,0.099,0,0,0,56.911111,574.8597071,58.06663708,50,10,10,10,10
58543.2,0.1,0,0,0,56.909722,569.09722,-57.62487071,50,10,10,10,10
61797.5,0.101,0,0,0,56.909722,563.4625941,-55.78837565,50,10,10,10,10
65052,0.1,0,0,0,56.908333,569.08333,56.20735941,50,10,10,10,10
68306.7,0.101,0,0,0,56.906944,563.4350891,-55.92317714,50,10,10,10,10
71561.6,0.099,0,0,0,56.905556,574.803596,114.8334025,50,10,10,10,10
74816.7,0.101,0,0,0,56.905556,563.4213465,-112.6955389,50,10,10,10,10
78072,0.1,0,0,0,56.904167,569.04167,56.20323465,50,10,10,10,10
81327.5,0.1,0,0,0,56.902778,569.02778,-0.1389,50,10,10,10,10
84583.2,0.1,0,0,0,56.902778,569.02778,0,50,10,10,10,10
87839.1,0.101,0,0,0,56.901389,563.3800891,-55.91773159,50,10,10,10,10
91095.2,0.099,0,0,0,56.901389,574.7615051,114.9637974,50,10,10,10,10
94351.5,0.101,0,0,0,56.901389,563.3800891,-112.6872866,50,10,10,10,10
97608,0.1,0,0,0,56.9,569,56.19910891,50,10,10,10,10
100864.7,0.1,0,0,0,56.9,569,0,50,10,10,10,10
104121.6,0.1,0,0,0,56.898611,568.98611,-0.1389,50,10,10,10,10
107378.7,0.1,0,0,0,56.898611,568.98611,0,50,10,10,10,10
110636.034,0.1,0,0,0,56.897222,568.97222,-0.1389,50,10,10,10,10
113893.5,0.101,0,0,0,56.895833,563.3250792,-55.91228507,50,10,10,10,10
117151.2,0.1,0,0,0,56.894444,568.94444,56.19360792,50,10,10,10,10
120409.1,0.1,0,0,0,56.893056,568.93056,-0.1388,50,10,10,10,10
123667.2,0.1,0,0,0,56.893056,568.93056,0,50,10,10,10,10
126925.5,0.1,0,0,0,56.891667,568.91667,-0.1389,50,10,10,10,10
130184,0.1,0,0,0,56.891667,568.91667,0,50,10,10,10,10
133442.7,0.1,0,0,0,56.891667,568.91667,0,50,10,10,10,10
