Time (s), Time step (s),X dist,X Velocity,X Acc,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel, X dist target, Y dist target,,25/02/2019 12:22
0,4586.547,0,0,0,0,0,0,0,0,0,0,0,100,0,,
4586.8,0.212,0,0,0,0,100,0,0,10,10,100,100,100,0,,
9173.8,0.042,0,0,0,10,100,0,0,10,10,100,100,100,0,,
13761,0.099,0.082031,0.82859596,8.369656158,10,100,0.001389,0,10,10,100,100,100,0,,
18348.4,0.101,0.324463,2.400316832,15.56159279,20,100,0.001389,100,10,10,100,100,100,0,,
22936,0.1,0.856201,5.31738,29.17063168,20,100,0.001389,100,10,10,100,100,100,0,,
27523.806,0.1,1.770996,9.14795,38.3057,20,100,0.001389,200,10,10,100,100,100,0,,
32111.8,0.101,2.876221,10.94282178,17.77100774,20,100,0.001389,200,10,10,100,100,100,0,,
36700,0.1,4.134521,12.583,16.40178218,20,100,0.001389,300,10,10,100,100,100,0,,
41288.4,0.1,5.546631,14.1211,15.381,20,100,0.001389,300,10,10,100,100,100,0,,
45877,0.1,7.083252,15.36621,12.4511,20,100,0.001389,400,10,10,100,100,100,0,,
50465.811,0.1,8.651367,15.68115,3.1494,20,100,0.001389,400,10,10,100,100,100,0,,
55054.8,0.101,10.200439,15.33734653,-3.403994706,20,100,0.001389,500,10,10,100,100,100,0,,
59644,0.1,11.789795,15.89356,5.562134653,20,100,0.001389,500,10,10,100,100,100,0,,
64233.4,0.099,13.435547,16.62375758,7.375733088,20,100,0.001389,600,10,10,100,100,100,0,,
68823,0.101,15.038086,15.86672277,-7.495394094,20,100,0.001389,600,10,10,100,100,100,0,,
73412.8,0.1,16.608398,15.70312,-1.636027723,20,100,0.001389,700,10,10,100,100,100,0,,
78002.8,0.1,18.240967,16.32569,6.2257,20,100,0.001389,700,10,10,100,100,100,0,,
82593,0.101,19.894775,16.37433663,0.481649838,20,100,0.001389,800,10,10,100,100,100,0,,
87183.4,0.1,21.481934,15.87159,-5.027466337,20,100,0.001389,800,10,10,100,100,100,0,,
91774,0.1,23.096191,16.14257,2.7098,20,100,0.001389,900,10,10,100,100,100,0,,
96364.8,0.1,24.769043,16.72852,5.8595,20,100,0.001389,900,10,10,100,100,100,0,,
100955.8,0.1,26.443359,16.74316,0.1464,20,100,0.001389,1000,10,10,100,100,100,0,,
105547,0.101,28.07959,16.20030693,-5.374782864,20,100,0.001389,1000,10,10,100,100,100,0,,
110138.4,0.1,29.740723,16.61133,4.110230693,20,100,0.001389,1100,10,10,100,100,100,0,,
